# ID, Collision, Layer, Sides (split by ;),Animated
0, false, 1, none, false
1, false, 1, none, false
2, false, 1, none, false
3, false, 1, none, false
4, false, 1, none, false
5, false, 1, none, false
6, false, 1, none, false
7, false, 1, none, false
8, false, 1, none, false
9, false, 1, none, false
10, false, 1, none, false
11, false, 1, none, false
12, false, 1, none, false
13, false, 1, none, false
14, false, 1, none, false
15, false, 1, none, true
16, false, 1, none, false
17, true, 1, all, false
18, true, 1, all, false
19, true, 1, all, false
20, true, 1, all, false
21, true, 1, all, false
22, true, 1, all, false
23, true, 1, all, false
24, true, 1, all, false
25, true, 1, all, false
26, true, 1, all, false
27, true, 1, all, false
28, true, 1, all, false
29, true, 1, all, false
30, false, 1, none, false
31, false, 1, none, false
32, true, 1, all, false
33, true, 1, all, false
34, true, 1, all, false
35, true, 1, all, false
36, true, 1, all, false
37, true, 1, all, false
38, true, 1, all, false
39, true, 1, all, false
40, true, 1, all, false
41, true, 1, all, false
42, true, 1, all, false
43, true, 1, all, false
44, true, 1, all, false
45, false, 1, none, false
46, false, 1, none, false
47, false, 1, none, false
48, false, 1, none, false
49, false, 1, none, false
50, false, 1, none, false
51, false, 1, none, false
52, false, 1, none, false
53, false, 1, none, false
54, false, 1, none, false
55, false, 1, none, false
56, false, 1, none, false
57, false, 1, none, false
58, false, 1, none, false
59, false, 1, none, false
60, true, 1, all, false
61, true, 1, all, false
62, false, 2, none, false
63, false, 2, none, false
64, false, 2, none, false
65, true, 1, all, false
66, false, 2, none, false
67, true, 1, all, false
68, true, 1, all, false
69, true, 1, all, false
70, true, 1, all, false
71, true, 1, all, false
72, true, 1, all, false
73, true, 1, all, false
74, true, 1, all, false
75, true, 1, all, false
76, true, 1, all, false
77, true, 1, all, false
78, true, 1, all, false
79, true, 1, all, false
80, true, 1, all, false
81, true, 1, all, false
82, true, 1, all, false
83, false, 1, none, false
84, true, 1, all, false
85, true, 1, all, false
86, false, 1, none, false
87, true, 1, all, false
88, true, 1, all, false
89, true, 1, all, false
90, false, 2, none, false
91, false, 2, none, false
92, false, 1, none, false
93, false, 1, none, false
94, false, 1, none, false
95, false, 2, none, false
96, false, 2, none, false
97, false, 2, none, false
98, false, 1, none, false
99, false, 1, none, false
100, true, 1, all, false
101, true, 1, all, false
102, true, 1, all, false
103, false, 1, none, false
104, false, 1, none, false
105, true, 1, all, true
106, true, 1, all, true
107, true, 1, all, true
108, false, 1, none, false
109, false, 1, none, false
110, true, 1, all, true
111, true, 1, all, true
112, true, 1, all, true
113, false, 1, none, false
114, false, 1, none, false
115, true, 1, all, true
116, true, 1, all, true
117, true, 1, all, true
118, false, 1, none, false
119, false, 1, none, false
